user_id,watch_time_hours,avg_session_mins,top_genres,total_sessions,weekend_ratio,completion_rate
USR-1001,11.99,35.03,Animation,16,0.37,0.89
USR-1002,12.8,32.71,"Animation,Family",20,0.43,0.36
USR-1003,5.33,32.06,Comedy,16,0.38,0.43
USR-1004,14.96,35.83,Animation,19,0.33,0.79
USR-1005,11.37,31.55,Comedy,15,0.4,0.62
USR-1006,11.67,27.14,"Comedy,Family",23,0.34,0.66
USR-1007,9.97,44.41,"Comedy,Family",21,0.42,0.63
USR-1008,9.6,25.65,Family,14,0.44,0.39
USR-1009,11.47,33.3,Animation,8,0.24,0.75
USR-1010,7.78,39.33,"Comedy,Animation",24,0.22,0.81
USR-1011,9.97,33.13,"Animation,Family",10,0.48,0.34
USR-1012,13.71,29.46,"Animation,Comedy",21,0.1,0.77
USR-1013,10.76,33.91,"Family,Animation",14,0.45,0.78
USR-1014,17.36,47.36,"Comedy,Family",22,0.46,0.82
USR-1015,11.27,38.2,"Comedy,Family",24,0.42,0.6
USR-1016,12.52,34.2,"Family,Animation",16,0.24,0.5
USR-1017,10.88,27.25,"Animation,Family",16,0.3,0.63
USR-1018,11.71,49.2,Family,18,0.3,0.53
USR-1019,13.76,43.03,Family,18,0.35,0.55
USR-1020,10.51,39.34,Comedy,16,0.1,0.87
USR-1021,16.98,44.62,Comedy,21,0.29,0.86
USR-1022,6.29,40.11,"Animation,Family",28,0.28,0.57
USR-1023,10.8,32.48,Comedy,10,0.41,0.49
USR-1024,11.92,29.56,"Animation,Family",25,0.31,0.6
USR-1025,12.94,27.38,"Family,Animation",9,0.42,0.69
USR-1026,12.85,27.34,"Comedy,Animation",11,0.43,0.7
USR-1027,8.46,37.63,"Comedy,Family",19,0.31,0.93
USR-1028,11.92,27.66,Family,21,0.54,0.53
USR-1029,13.39,38.89,Family,16,0.31,0.52
USR-1030,8.05,35.46,"Animation,Comedy",19,0.4,0.87
USR-1031,9.71,55.0,Family,12,0.46,0.62
USR-1032,12.64,39.31,Family,17,0.3,0.42
USR-1033,9.16,41.99,"Family,Comedy",23,0.36,0.75
USR-1034,7.26,26.86,"Comedy,Family",14,0.5,0.81
USR-1035,7.62,45.67,Family,10,0.34,0.54
USR-1036,11.09,32.11,Animation,17,0.31,0.61
USR-1037,9.04,36.57,Family,15,0.47,0.35
USR-1038,11.78,32.21,"Animation,Family",21,0.69,0.93
USR-1039,14.59,41.8,Comedy,11,0.16,0.52
USR-1040,13.02,48.47,Comedy,14,0.34,0.55
USR-1041,15.8,38.83,"Animation,Family",19,0.67,0.53
USR-1042,16.27,27.71,"Animation,Family",19,0.37,0.93
USR-1043,10.44,29.47,Family,8,0.24,0.88
USR-1044,14.47,35.1,"Comedy,Animation",15,0.78,0.66
USR-1045,13.42,46.81,"Comedy,Animation",18,0.35,0.67
USR-1046,12.49,47.1,Animation,11,0.45,0.82
USR-1047,12.0,43.42,Animation,15,0.25,0.67
USR-1048,9.21,44.61,Comedy,11,0.33,0.6
USR-1049,13.36,46.17,Animation,18,0.46,0.9
USR-1050,4.88,47.28,"Family,Comedy",20,0.32,0.82
USR-1051,15.16,32.92,Animation,21,0.13,0.28
USR-1052,10.27,31.87,"Animation,Family",16,0.35,0.8
USR-1053,10.81,37.87,"Comedy,Animation",13,0.65,0.5
USR-1054,6.86,44.11,Animation,21,0.4,0.52
USR-1055,10.73,31.26,Animation,27,0.45,0.66
USR-1056,10.75,34.19,"Family,Comedy",23,0.47,0.78
USR-1057,13.96,32.66,Animation,9,0.53,0.63
USR-1058,16.08,46.35,"Family,Comedy",13,0.4,0.5
USR-1059,10.44,33.98,"Animation,Family",24,0.49,0.72
USR-1060,10.77,25.88,"Family,Animation",13,0.56,0.61
USR-1061,10.64,38.72,Family,19,0.4,0.66
USR-1062,8.18,36.17,Family,20,0.29,0.88
USR-1063,11.6,37.47,"Comedy,Family",16,0.31,0.72
USR-1064,7.38,26.53,"Animation,Family",15,0.36,0.4
USR-1065,15.68,25.55,"Animation,Family",11,0.62,0.83
USR-1066,9.09,24.01,"Animation,Comedy",24,0.32,0.67
USR-1067,11.53,49.38,Family,25,0.44,0.6
USR-1068,5.7,26.42,Comedy,20,0.1,0.61
USR-1069,8.95,42.25,Comedy,23,0.42,0.5
USR-1070,9.69,46.42,Comedy,22,0.42,0.66
USR-1071,15.33,44.92,Animation,16,0.49,0.88
USR-1072,10.72,47.4,Animation,11,0.38,0.86
USR-1073,11.88,40.1,"Family,Animation",10,0.54,0.71
USR-1074,6.39,39.4,Comedy,7,0.27,0.72
USR-1075,12.74,33.97,Animation,18,0.44,0.74
USR-1076,8.91,27.04,"Family,Animation",11,0.39,0.49
USR-1077,8.84,27.61,"Family,Comedy",14,0.37,0.94
USR-1078,9.91,27.42,"Animation,Family",18,0.5,0.56
USR-1079,8.29,40.06,Animation,17,0.41,0.68
USR-1080,15.29,34.23,Animation,18,0.5,0.72
USR-1081,9.43,42.31,Comedy,14,0.23,0.55
USR-1082,7.26,47.81,Animation,22,0.71,0.56
USR-1083,11.7,47.53,"Family,Animation",16,0.32,0.86
USR-1084,6.57,22.6,Family,22,0.33,0.46
USR-1085,14.07,35.71,"Comedy,Family",18,0.3,0.69
USR-1086,10.35,34.33,"Comedy,Animation",13,0.62,0.64
USR-1087,12.2,41.82,Family,15,0.46,0.75
USR-1088,8.06,48.93,"Family,Comedy",19,0.49,0.65
USR-1089,13.15,24.21,"Comedy,Family",14,0.49,0.82
USR-1090,12.81,30.94,Comedy,30,0.33,0.88
USR-1091,8.97,27.31,Comedy,17,0.41,0.56
USR-1092,12.26,33.77,Animation,16,0.49,0.69
USR-1093,12.96,24.05,"Comedy,Animation",14,0.13,0.81
USR-1094,7.97,24.94,Animation,18,0.31,0.66
USR-1095,11.23,25.29,"Family,Comedy",10,0.54,0.7
USR-1096,9.25,40.43,Comedy,29,0.52,0.76
USR-1097,9.44,33.02,"Family,Comedy",16,0.5,0.84
USR-1098,9.17,33.01,"Family,Animation",15,0.4,0.63
USR-1099,15.62,39.62,Family,9,0.58,0.75
USR-1100,10.33,37.96,"Family,Comedy",12,0.5,0.51
USR-1101,7.87,37.43,"Family,Animation",14,0.56,0.56
USR-1102,9.01,38.93,Comedy,16,0.7,0.73
USR-1103,8.74,35.07,Comedy,20,0.56,0.62
USR-1104,7.66,25.11,Family,4,0.37,0.42
USR-1105,9.76,34.09,Family,16,0.48,0.93
USR-1106,13.88,34.12,"Animation,Comedy",12,0.33,0.51
USR-1107,7.89,24.72,Comedy,17,0.42,1.0
USR-1108,7.18,45.72,"Family,Animation",4,0.59,0.65
USR-1109,9.6,30.99,Animation,10,0.31,0.48
USR-1110,15.76,42.55,Animation,24,0.31,0.56
USR-1111,18.21,37.04,Animation,20,0.27,0.6
USR-1112,9.81,41.7,"Family,Comedy",13,0.37,0.49
USR-1113,8.69,34.2,"Animation,Comedy",19,0.25,0.79
USR-1114,9.95,32.34,"Comedy,Animation",23,0.36,0.64
USR-1115,9.07,43.11,"Family,Comedy",9,0.33,0.8
USR-1116,10.41,33.65,Family,24,0.5,0.81
USR-1117,6.42,32.71,"Comedy,Animation",18,0.44,0.57
USR-1118,8.17,37.37,"Family,Comedy",13,0.39,0.26
USR-1119,8.82,38.2,"Animation,Family",26,0.59,0.5
USR-1120,12.03,34.89,"Comedy,Family",22,0.18,0.5
USR-1121,10.94,34.44,Animation,13,0.24,0.5
USR-1122,13.66,29.35,Comedy,31,0.3,0.76
USR-1123,8.77,36.85,"Animation,Comedy",19,0.27,0.33
USR-1124,9.45,28.68,Comedy,9,0.21,0.59
USR-1125,12.0,39.73,"Comedy,Animation",22,0.33,0.68
USR-1126,16.34,40.84,Animation,24,0.5,0.72
USR-1127,10.29,24.37,Comedy,18,0.35,0.67
USR-1128,8.9,22.33,Animation,16,0.45,0.62
USR-1129,13.89,35.44,Comedy,28,0.44,0.46
USR-1130,14.74,30.01,Animation,31,0.55,0.52
USR-1131,9.94,32.92,Family,23,0.22,0.69
USR-1132,13.17,36.58,"Animation,Comedy",23,0.34,0.86
USR-1133,17.4,33.46,"Animation,Comedy",15,0.57,0.89
USR-1134,8.93,33.06,"Comedy,Family",16,0.28,0.53
USR-1135,10.4,37.64,Family,14,0.5,0.69
USR-1136,10.65,37.7,"Family,Animation",22,0.54,0.89
USR-1137,5.79,36.52,"Family,Animation",20,0.46,0.46
USR-1138,12.21,53.51,Animation,20,0.57,0.56
USR-1139,8.0,39.3,"Comedy,Animation",24,0.48,0.63
USR-1140,13.88,25.54,Animation,14,0.47,0.81
USR-1141,7.95,36.73,"Comedy,Animation",22,0.29,0.52
USR-1142,10.48,40.86,Animation,12,0.51,0.66
USR-1143,16.1,41.74,"Animation,Comedy",20,0.36,0.74
USR-1144,13.83,41.74,Family,20,0.44,0.56
USR-1145,11.08,34.89,Family,16,0.3,0.55
